,Name of Institution,Default Rate: 2 yr
374,COLUMBUS STATE UNIVERSITY,8.7
375,GEORGIA PERIMETER COLLEGE,18.1
376,EMMANUEL COLLEGE,22.0
377,EMORY UNIVERSITY,1.7
378,FORT VALLEY STATE UNIVERSITY,22.7
379,GAINESVILLE STATE COLLEGE,14.9
380,INTERDENOMINATIONAL THEOLOGICAL CENTER,11.6
381,GEORGIA INSTITUTE OF TECHNOLOGY,2.0
382,SOUTHERN POLYTECHNIC STATE UNIVERSITY,10.6
383,GEORGIA MILITARY COLLEGE,23.7
384,GEORGIA SOUTHERN UNIVERSITY,7.4
385,GEORGIA SOUTHWESTERN STATE UNIVERSITY,10.7
386,GEORGIA STATE UNIVERSITY,6.3
387,GORDON STATE COLLEGE,22.9
388,KENNESAW STATE UNIVERSITY,9.3
389,LAGRANGE COLLEGE,10.0
390,GEORGIA REGENTS UNIVERSITY,12.4
391,MERCER UNIVERSITY,3.6
392,MIDDLE GEORGIA STATE COLLEGE,17.9
393,MOREHOUSE COLLEGE,27.4
394,NORTH GEORGIA COLLEGE & STATE UNIVERSITY,6.7
395,OGLETHORPE UNIVERSITY,9.6
396,PAINE COLLEGE,18.3
397,PIEDMONT COLLEGE,3.6
398,REINHARDT UNIVERSITY,15.2
399,SAVANNAH STATE UNIVERSITY,16.2
400,SHORTER UNIVERSITY,11.8
401,SOUTH GEORGIA COLLEGE,23.2
402,SPELMAN COLLEGE,14.3
403,TOCCOA FALLS COLLEGE,5.2
404,TRUETT MCCONNELL COLLEGE,17.1
405,UNIVERSITY OF GEORGIA,3.2
406,VALDOSTA STATE UNIVERSITY,8.2
407,WESLEYAN COLLEGE,15.0
408,UNIVERSITY OF WEST GEORGIA,8.3
409,GEORGIA COLLEGE & STATE UNIVERSITY,6.0
410,YOUNG HARRIS COLLEGE,10.1
411,CHAMINADE UNIVERSITY OF HONOLULU,9.8
412,BRIGHAM YOUNG UNIVERSITY - HAWAII,6.7
413,UNIVERSITY OF HAWAII AT MANOA,4.4
414,UNIVERSITY OF HAWAII AT HILO,9.3
415,HONOLULU COMMUNITY COLLEGE,10.5
416,KAPIOLANI COMMUNITY COLLEGE,14.1
417,KAUAI COMMUNITY COLLEGE,15.6
418,UNIVERSITY OF HAWAII MAUI COLLEGE,24.3
419,BOISE STATE UNIVERSITY,7.8
420,COLLEGE OF IDAHO (THE),3.2
421,COLLEGE OF SOUTHERN IDAHO,17.5
422,IDAHO STATE UNIVERSITY,8.3
423,LEWIS-CLARK STATE COLLEGE,14.0
