,Name of Institution,Default Rate: 2 yr
2959,NORTHWEST LOUISIANA TECHNICAL COLLEGE,25.1
2960,COLLEGE OF THE OUACHITAS,17.9
2961,MORGAN COMMUNITY COLLEGE,18.9
2962,VICTORY UNIVERSITY,19.9
2963,SAINT ANTHONY COLLEGE OF NURSING,0.0
2964,SANTA BARBARA BUSINESS COLLEGE,22.6
2965,OAK HILLS CHRISTIAN COLLEGE,8.6
2966,PASSAIC COUNTY COMMUNITY COLLEGE,8.9
2967,GREATER JOHNSTOWN AREA VOCATIONAL TECHNICAL SCHOOL,13.1
2968,AMERICAN SAMOA COMMUNITY COLLEGE,0.0
2969,GARRETT COLLEGE,30.5
2970,PAYNE THEOLOGICAL SEMINARY,5.8
2971,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER (THE),0.9
2972,LEWIS AND CLARK COMMUNITY COLLEGE,14.3
2973,JAMES A. RHODES STATE COLLEGE,14.1
2974,BON SECOURS MEMORIAL COLLEGE OF NURSING,6.0
2975,CUNY LAGUARDIA COMMUNITY COLLEGE,6.7
2976,JEFFERSON LEWIS BOCES PROGRAM OF PRACTICAL NURSING,10.3
2977,CRAWFORD COUNTY CAREER & TECHNICAL CENTER,4.1
2978,AIKEN TECHNICAL COLLEGE,0.0
2979,AMERICAN COMMERCIAL COLLEGE,35.6
2980,VERNON COLLEGE,19.8
2981,WASHINGTON THEOLOGICAL UNION,0.0
2982,LUND UNIVERSITY,30.0
2983,UNIVERSITY OF CAPE TOWN,0.0
2984,UNIVERSITY OF OXFORD - ST PETER'S COLLEGE,0.0
2985,UNIVERSITY OF OXFORD - CORPUS CHRISTI COLLEGE,0.0
2986,CENTRAL SCHOOL OF SPEECH AND DRAMA (THE),0.0
2987,UNIVERSITY OF OXFORD - BALLIOL COLLEGE,0.0
2988,CUNY MEDGAR EVERS COLLEGE,12.1
2989,NEUMONT UNIVERSITY,10.1
2990,CERRO COSO COMMUNITY COLLEGE,17.8
2991,UNIVERSITY OF TEXAS AT SAN ANTONIO,11.1
2992,PHAGANS' MEDFORD BEAUTY SCHOOL,13.7
2993,WADE COLLEGE,8.4
2994,STEWART SCHOOL,7.6
2995,MINERAL COUNTY VOCATIONAL TECHNICAL CENTER,0.0
2996,TOURO COLLEGE,12.1
2997,UNIVERSITY OF READING,0.0
2998,WESTERN SUFFOLK BOCES,15.0
2999,COLORADO TECHNICAL UNIVERSITY,24.9
3000,PEPPERDINE UNIVERSITY,2.4
3001,VINCENNES BEAUTY COLLEGE,0.0
3002,HELENE FULD COLLEGE OF NURSING,10.1
3003,CARDIFF UNIVERSITY,0.0
3004,"C. G. JUNG INSTITUTE ZURICH, KUSNACHT",0.0
3005,LORAINE'S ACADEMY,20.7
3006,NATIONWIDE BEAUTY ACADEMY,10.5
3007,WESTERN DAKOTA TECHNICAL INSTITUTE,16.5
3008,WESTMORELAND COUNTY COMMUNITY COLLEGE,11.8
3009,ROGUE COMMUNITY COLLEGE,26.0
3010,UNIVERSITY COLLEGE OF DUBLIN,6.6
3011,UNIVERSITY OF CAMBRIDGE CHURCHILL COLLEGE,0.0
3012,ART INSTITUTE OF FORT LAUDERDALE (THE),21.4
3013,ECPI UNIVERSITY,17.4
3014,SAINT PAUL UNIVERSITY,0.0
3015,UNIVERSITY OF STIRLING,20.0
3016,ART INSTITUTES INTERNATIONAL MINNESOTA (THE),15.7
3017,BENEDICTINE COLLEGE,4.1
3018,SOUTH COLLEGE,18.0
3019,HILLSDALE FREE WILL BAPTIST COLLEGE,19.5
3020,HICKEY COLLEGE,13.8
3021,OHIO STATE BEAUTY ACADEMY,27.7
3022,SUNY EMPIRE STATE COLLEGE,10.7
3023,FORTIS INSTITUTE,15.4
3024,HANNAH E MULLINS SCHOOL OF PRACTICAL NURSING,16.3
3025,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY - HARRIMAN,0.0
3026,UNIVERSITY OF CAMBRIDGE - CLARE COLLEGE,0.0
3027,EASTERN VIRGINIA MEDICAL SCHOOL,0.0
3028,LOS MEDANOS COLLEGE,26.6
3029,SOUTHERN OKLAHOMA AREA VOCATIONAL TECHNICAL DISTRICT #20,0.0
3030,CINCINNATI STATE TECHNICAL & COMMUNITY COLLEGE,22.2
3031,EVEREST INSTITUTE,29.5
3032,COLLEGE OF SOUTHERN NEVADA,20.3
3033,WESTERN NEVADA COLLEGE,15.2
3034,WHATCOM COMMUNITY COLLEGE,18.3
3035,CHARLES DREW UNIVERSITY OF MEDICINE AND SCIENCE,7.5
3036,METROPOLITAN STATE UNIVERSITY,7.0
3037,RABBINICAL COLLEGE OF LONG ISLAND,0.0
3038,EL PASO COMMUNITY COLLEGE,14.7
3039,READING AREA COMMUNITY COLLEGE,16.0
3040,OKLAHOMA CITY COMMUNITY COLLEGE,24.2
3041,UNIVERSITY OF SAN DIEGO,2.8
3042,DAKOTA COUNTY TECHNICAL COLLEGE,9.8
3043,PINNACLE CAREER INSTITUTE,10.6
3044,JOSEF'S SCHOOL OF HAIR DESIGN,3.9
3045,LAFAYETTE BEAUTY ACADEMY,0.0
3046,TESST COLLEGE OF TECHNOLOGY,22.2
3047,MARINELLO SCHOOL OF BEAUTY,28.8
3048,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,6.2
3049,SALON PROFESSIONAL ACADEMY THE,17.9
3050,RENTON TECHNICAL COLLEGE,14.2
3051,HASKELL INDIAN NATIONS UNIVERSITY,0.0
3052,SOUTHWEST TENNESSEE COMMUNITY COLLEGE,0.0
3053,PARDEE RAND GRADUATE SCHOOL,0.0
3054,PLAZA BEAUTY SCHOOL,19.7
3055,WASHINGTON STATE COMMUNITY COLLEGE,19.6
3056,UNIVERSITY OF HAIFA,0.0
3057,SHERIDAN COLLEGE INSTITUTE OF TECHNOLOGY AND ADVANCED LEARNING,0.0
3058,AMERICAN BAPTIST THEOLOGICAL SEMINARY,0.0
3059,KALAMAZOO BEAUTY ACADEMY,0.0
3060,INSEAD,0.0
3061,MARYMOUNT CALIFORNIA UNIVERSITY,11.9
3062,WEST GEORGIA TECHNICAL COLLEGE,0.0
3063,NATIONAL COLLEGE,14.1
3064,REGENCY BEAUTY INSTITUTE,8.0
3065,HENNEPIN TECHNICAL COLLEGE,14.8
3066,CRANFIELD UNIVERSITY,0.0
3067,LAKEVIEW COLLEGE OF NURSING,7.7
3068,WICHITA TECHNICAL INSTITUTE,18.6
3069,ACADEMY OF HAIR DESIGN,11.7
3070,HALLMARK COLLEGE OF TECHNOLOGY,16.4
3071,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE,0.0
3072,UNIVERSITY OF HERTFORDSHIRE,0.0
3073,MEMPHIS THEOLGICAL SEMINARY,2.1
3074,QUINEBAUG VALLEY COMMUNITY COLLEGE,20.0
3075,EMPIRE BEAUTY SCHOOL,15.2
3076,EMPIRE BEAUTY SCHOOL,13.4
3077,EMPIRE BEAUTY SCHOOL,13.1
3078,CENTURY COLLEGE,15.7
3079,NEW YORK SCHOOL FOR MEDICAL & DENTAL ASSISTANTS,16.3
3080,CONCORDIA COLLEGE ALABAMA,41.6
3081,COLEGIO UNIVERSITARIO DE SAN JUAN,0.0
3082,WEST VIRGINIA JUNIOR COLLEGE,9.8
3083,LONDON INTERNATIONAL FILM SCHOOL,0.0
3084,AUSTRALIAN NATIONAL UNIVERSITY,0.0
3085,BANGOR UNIVERSITY,0.0
3086,"RICHMOND, THE AMERICAN INTERNATIONAL UNIVERSITY IN LONDON",5.4
3087,INSTITUT D'ETUDES POLITIQUES DE PARIS,0.0
3088,MID AMERICA COLLEGE OF FUNERAL SERVICE,22.2
3089,LIGHTHOUSE CAREER INSTITUTE,14.2
3090,PB COSMETOLOGY EDUCATION CENTRE,12.4
3091,NORTHERN INSTITUTE OF COSMETOLOGY,0.0
3092,DEWOLFF COLLEGE OF HAIRSTYLING & COSMETOLOGY,11.4
3093,HOUSTON COMMUNITY COLLEGE,21.9
3094,SOUTHERN WESTCHESTER BOCES,8.8
3095,PASCO - HERNANDO COMMUNITY COLLEGE,19.1
3096,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,2.4
3097,REGENT COLLEGE,0.0
3098,UNIVERSIDAD DE MONTERREY,25.0
3099,MACQUARIE UNIVERSITY,12.5
3100,ERIE COMMUNITY COLLEGE,22.0
3101,UNIVERSITY OF QUEENSLAND (THE),0.0
3102,TRI COUNTY BEAUTY ACADEMY,7.1
3103,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-JACKSBORO,0.0
3104,UNIVERSITY OF LETHBRIDGE,0.0
3105,EMPIRE BEAUTY SCHOOL-LAKEWOOD,14.6
3106,CAPITAL AREA CAREER CENTER,12.0
3107,GREAT PLAINS TECHNOLOGY CENTER SCHOOL DISTRICT NUMBER 9,0.0
3108,RYERSON UNIVERSITY,0.0
3109,CARLOS ALBIZU UNIVERSITY,12.1
3110,DEVRY UNIVERSITY,24.1
3111,MARION TECHNICAL COLLEGE,17.1
3112,ACADEMY OF SALON AND SPA,14.2
3113,DALLAS INSTITUTE OF FUNERAL SERVICE,21.8
3114,WESTERN TECHNOLOGY CENTER SCHOOL DISTRICT NO. 12,0.0
3115,GUPTON-JONES COLLEGE,26.3
3116,PORTER AND CHESTER INSTITUTE,18.1
3117,UNIVERSITY OF OXFORD - WORCESTER COLLEGE,0.0
3118,"NATIONAL UNIVERSITY OF IRELAND, MAYNOOTH",0.0
3119,AMERICAN ACADEMY MCALLISTER INSTITUTE,19.7
3120,PITTSBURGH INSTITUTE OF MORTUARY SCIENCE,8.9
3121,KINGSTON UNIVERSITY,0.0
3122,CONSERVATORIO DE MUSICA DE PUERTO RICO,11.4
3123,TOM P. HANEY TECHNICAL CENTER,0.0
3124,DAVID PRESSLEY PROFESSIONAL SCHOOL OF COSMETOLOGY,27.1
3125,PIVOT POINT ACADEMY,13.4
3126,SIMMONS INSTITUTE OF FUNERAL SERVICE,28.5
3127,ARIZONA AUTOMOTIVE INSTITUTE,27.1
3128,ANTHEM INSTITUTE,10.9
3129,THOMAS JEFFERSON SCHOOL OF LAW,6.6
3130,AVALON SCHOOL OF COSMETOLOGY,22.0
3131,GREATER ALTOONA CAREER & TECHNOLOGY CENTER,18.4
3132,WEST VIRGINIA BUSINESS COLLEGE,38.5
3133,UNIVERSITY OF DUNDEE,0.0
3134,UNIVERSITY OF OXFORD - MAGDALEN COLLEGE,0.0
3135,UNIVERSITY OF OXFORD - ST JOHN'S COLLEGE,0.0
3136,RICHLAND COMMUNITY COLLEGE,25.9
3137,CHATFIELD COLLEGE,31.2
3138,STARK STATE COLLEGE,17.2
3139,RIZZIERI AVEDA SCHOOL FOR BEAUTY AND WELLNESS,7.3
3140,CINCINNATI COLLEGE OF MORTUARY SCIENCE,12.3
3141,MADISON MEDIA INSTITUTE,9.6
3142,MONASH UNIVERSITY,20.0
3143,UNIVERSITY OF EAST ANGLIA,0.0
3144,UNIVERSITY OF PUERTO RICO - UTUADO,12.5
3145,UNION INSTITUTE & UNIVERSITY,5.5
3146,UNIVERSITY OF OXFORD - ST HUGH'S COLLEGE,0.0
3147,PUTNAM-WESTCHESTER BOCES,16.2
3148,GREENE COUNTY CAREER & TECHNOLOGY CENTER,7.1
3149,EMPIRE BEAUTY SCHOOL,11.5
3150,UNIVERSITY OF PUERTO RICO BAYAMON TECHNICAL UNIVERSITY COLLEGE,12.5
3151,UNIVERSIDAD CENTRAL DEL ESTE,21.6
3152,UNIVERSITY OF OXFORD - SOMERVILLE COLLEGE,0.0
3153,HOBART INSTITUTE OF WELDING TECHNOLOGY,13.7
3154,EAST GEORGIA STATE COLLEGE,27.5
3155,PENNSYLVANIA INSTITUTE OF TECHNOLOGY,17.7
3156,UNIVERSITY OF OXFORD - WADHAM COLLEGE,0.0
3157,KAPLAN COLLEGE,23.5
3158,PALAU COMMUNITY COLLEGE,0.0
3159,EMPIRE BEAUTY SCHOOL,9.5
3160,EMPIRE BEAUTY SCHOOL,14.4
3161,EVEREST COLLEGE,30.5
3162,WARRENSBURG AREA CAREER CENTER,16.6
3163,TECHNICAL CAREER INSTITUTES,34.9
3164,PONTIFICIA UNIVERSITA SAN TOMMASO,0.0
3165,CENTRAL OHIO TECHNICAL COLLEGE,19.8
3166,UNIVERSITY OF OXFORD - ST HILDA'S COLLEGE,0.0
3167,UNIVERSITY OF OXFORD - ST ANNE'S COLLEGE,0.0
3168,UNIVERSITY OF OXFORD - LADY MARGARET HALL,16.6
3169,UNIVERSITY OF OXFORD - UNIVERSITY COLLEGE,0.0
3170,UNIVERSITY OF OXFORD - TRINITY COLLEGE,0.0
3171,UNIVERSITY OF OXFORD - ST EDMUND HALL,0.0
3172,UNIVERSITY OF OXFORD - ST ANTONY'S COLLEGE,0.0
3173,UNIVERSITY OF OXFORD - QUEEN'S COLLEGE,0.0
3174,UNIVERSITY OF OXFORD - PEMBROKE COLLEGE,0.0
3175,UNIVERSITY OF OXFORD - ORIEL COLLEGE,0.0
3176,UNIVERSITY OF OXFORD - NUFFIELD COLLEGE,0.0
3177,UNIVERSITY OF OXFORD - NEW COLLEGE,0.0
3178,UNIVERSITY OF OXFORD - MERTON COLLEGE,0.0
3179,UNIVERSITY OF OXFORD - LINCOLN COLLEGE,0.0
3180,UNIVERSITY OF OXFORD - KEBLE COLLEGE,0.0
3181,UNIVERSITY OF OXFORD - JESUS COLLEGE,0.0
3182,UNIVERSITY OF OXFORD - HERTFORD COLLEGE,0.0
3183,UNIVERSITY OF OXFORD - EXETER COLLEGE,0.0
3184,UNIVERSITY OF OXFORD - CHRIST CHURCH COLLEGE,0.0
3185,UNIVERSITY OF OXFORD - BRASENOSE COLLEGE,0.0
3186,BAINBRIDGE COLLEGE,24.9
3187,FLINDERS UNIVERSITY,20.0
3188,UNIVERSITY OF WESTERN AUSTRALIA (THE),0.0
3189,CLOYD'S BEAUTY SCHOOL #1,0.0
3190,FLINT INSTITUTE OF BARBERING,44.4
3191,EVEREST COLLEGE,25.5
3192,EVEREST COLLEGE,26.6
3193,FASHION INSTITUTE OF DESIGN & MERCHANDISING,10.4
3194,MAHARISHI UNIVERSITY OF MANAGEMENT,5.3
3195,ALLIANT INTERNATIONAL UNIVERSITY,5.3
3196,EVEREST COLLEGE,33.8
3197,EVEREST COLLEGE,25.5
3198,GOODING INSTITUTE OF NURSE ANESTHESIA,0.0
3199,EASTERN IDAHO TECHNICAL COLLEGE,10.2
3200,LONE STAR COLLEGE-NORTH HARRIS,17.7
3201,ASNUNTUCK COMMUNITY COLLEGE,9.0
3202,TEXAS A&M UNIVERSITY - CORPUS CHRISTI,13.8
3203,UNIVERSITY OF TEXAS AT TYLER,11.8
3204,BROADVIEW UNIVERSITY,19.3
3205,COMMUNITY COLLEGE OF VERMONT,15.2
3206,STANLY COMMUNITY COLLEGE,0.0
3207,MAYLAND COMMUNITY COLLEGE,0.0
3208,PIONEER TECHNOLOGY CENTER,0.0
3209,BUNKER HILL COMMUNITY COLLEGE,11.7
3210,UNIVERSITY OF THE WITWATERSRAND,0.0
3211,WINDWARD COMMUNITY COLLEGE,16.7
3212,AARHUS UNIVERSITY,0.0
3213,WEST VIRGINIA SCHOOL OF OSTEOPATHIC MEDICINE,0.8
3214,OKLAHOMA STATE UNIVERSITY CENTER FOR HEALTH SCIENCES,3.3
3215,COLLEGE OF THE ATLANTIC,5.4
3216,NATIONAL UNIVERSITY,7.0
3217,UNIVERSITY OF ALASKA ANCHORAGE,9.4
3218,SANFORD MEDICAL CENTER,0.0
3219,DIVERS INSTITUTE OF TECHNOLOGY,14.4
3220,ADVANCED INSTITUTE OF HAIR DESIGN,8.5
3221,BULLARD - HAVENS TECHNICAL HIGH SCHOOL,0.0
3222,CREATIVE HAIR STYLING ACADEMY,4.5
3223,EVEREST INSTITUTE,28.1
3224,JOSEPH'S COLLEGE OF BEAUTY,19.1
3225,MORRIS COUNTY SCHOOL OF TECHNOLOGY,8.3
3226,MID-AMERICA AREA VOCATIONAL-TECHNICAL SCHOOL DISTRICT NO.  #8,0.0
3227,WILLIAM R  MOORE COLLEGE OF TECHNOLOGY,0.0
3228,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",0.0
3229,COLORADO SCHOOL OF TRADES,9.3
3230,BAUDER COLLEGE,21.5
3231,SYLVAIN MELLOUL INTERNATIONAL HAIR ACADEMY,16.6
3232,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CENTER,0.0
3233,NEW YORK METHODIST HOSPITAL,0.0
3234,AUTOMOTIVE TRAINING CENTER,10.0
3235,WELDER TRAINING & TESTING INSTITUTE,27.0
3236,WESTWOOD COLLEGE - SOUTH BAY,21.6
3237,"D-JAY'S SCHOOL OF BEAUTY, ARTS & SCIENCES",41.9
3238,EMPIRE BEAUTY SCHOOL,1.7
3239,UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,5.8
3240,SBI CAMPUS - AN AFFILIATE OF SANFORD-BROWN,26.6
3241,LOYOLA MARYMOUNT UNIVERSITY,3.6
3242,NORTHEAST COMMUNITY COLLEGE,16.7
3243,MENDOCINO COLLEGE,17.8
3244,MAINE COLLEGE OF ART,8.9
3245,MEMORIAL SLOAN KETTERING CANCER CENTER,0.0
3246,STATE UNIVERSITY OF NEW YORK INSTITUTE OF TECHNOLOGY AT UTICA - R,3.9
3247,UNIVERSITY OF BATH,14.2
3248,FRANKLIN COLLEGE SWITZERLAND,2.5
3249,REFRIGERATION SCHOOL (THE),20.4
3250,VINAL TECHNICAL HIGH SCHOOL,0.0
3251,PENTA COUNTY VOCATIONAL SCHOOL,0.0
3252,NORTH-WEST COLLEGE,4.9
3253,"HAIR DESIGN SCHOOL, THE",22.2
3254,UNIVERSITY OF HOUSTON - CLEAR LAKE,7.2
3255,JOSEPH F. MCCLOSKEY SCHOOL OF NURSING AT SCHUYLKILL HEALTH,9.6
3256,UNIVERSIDAD DEL TURABO,17.8
3257,BRIERCREST  COLLEGE AND SEMINARY,4.7
3258,COLLINS SCHOOL OF COSMETOLOGY,11.1
3259,DELAWARE TECHNICAL  COMMUNITY COLLEGE,19.9
3260,"MAYO CLINIC, COLLEGE OF MEDICINE",0.7
3261,PIKE LINCOLN TECHNICAL CENTER,29.6
3262,NATIONAL BEAUTY COLLEGE,13.6
3263,OHIO TECHNICAL COLLEGE,21.3
3264,WOOD COUNTY TECHNICAL CENTER,23.8
3265,UNIVERSITY OF CAMBRIDGE - PETERHOUSE,0.0
3266,ROYAL ACADEMY OF MUSIC,20.0
3267,GOLDSMITHS COLLEGE - UNIVERSITY OF LONDON,2.4
3268,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON",0.0
3269,BRUNEL UNIVERSITY,9.0
3270,FRANCISCAN SCHOOL OF THEOLOGY,8.3
3271,PAUL MITCHELL THE SCHOOL FAYETTEVILLE,0.0
3272,ARIZONA ACADEMY OF BEAUTY - NORTH,12.1
3273,EMPIRE BEAUTY SCHOOL - FLAGSTAFF,16.5
3274,TAYLOR BUSINESS INSTITUTE,33.5
3275,SAN DIEGO MIRAMAR COLLEGE,10.9
3276,YESHIVATH ZICHRON MOSHE,0.0
3277,WISCONSIN INDIANHEAD TECHNICAL COLLEGE,15.4
3278,BERK TRADE & BUSINESS SCHOOL,33.5
3279,UNIVERSITY OF OXFORD - MANSFIELD COLLEGE,0.0
3280,JOHN JAY BEAUTY COLLEGE,0.0
3281,NORWICH TECHNICAL HIGH SCHOOL,0.0
3282,EVEREST COLLEGE,24.7
3283,WORD OF LIFE BIBLE INSTITUTE,6.5
3284,NORTHLAND PIONEER COLLEGE,0.0
3285,MOHAVE COMMUNITY COLLEGE,36.5
3286,CALIFORNIA HAIR DESIGN ACADEMY,12.7
3287,LU ROSS ACADEMY,0.0
3288,BEAVER FALLS BEAUTY ACADEMY,50.0
3289,WESTCHESTER SCHOOL OF BEAUTY CULTURE,0.0
3290,LEON'S BEAUTY SCHOOL,0.0
3291,ROXBURY COMMUNITY COLLEGE,0.0
3292,VERMONT LAW SCHOOL,0.0
3293,INSTITUTO COMERCIAL DE PUERTO RICO JUNIOR COLLEGE,61.8
3294,AMERICAN UNIVERSITY OF PUERTO RICO,36.6
3295,CORCORAN COLLEGE OF ART AND DESIGN,5.0
3296,OHR HAMEIR THEOLOGICAL SEMINARY,0.0
3297,AUSTIN COMMUNITY COLLEGE,17.1
3298,VICTORIA BEAUTY COLLEGE,12.0
3299,BELLUS ACADEMY,31.0
3300,GALEN COLLEGE OF CALIFORNIA,29.4
3301,SAN DIEGO CHRISTIAN COLLEGE,9.0
3302,MANSFIELD BEAUTY SCHOOLS,4.0
3303,ROSEDALE TECHNICAL INSTITUTE,18.8
3304,PRO WAY HAIR SCHOOL,13.7
3305,TRINITY BIBLE COLLEGE,8.5
3306,EVEREST COLLEGE,26.9
3307,HAMILTON TECHNICAL COLLEGE,21.6
3308,MANSFIELD BEAUTY SCHOOLS,33.3
3309,UNIVERSITY OF CAMBRIDGE - TRINITY COLLEGE,0.0
3310,VICTORIA UNIVERSITY OF WELLINGTON,0.0
3311,SULLIVAN COLLEGE OF TECHNOLOGY AND DESIGN,25.0
3312,ROBERT FIANCE BEAUTY SCHOOLS,22.6
3313,KENNETH SHULER SCHOOL OF COSMETOLOGY,0.0
3314,ECOLE H⌠TELIERE DE LAUSANNE,0.0
3315,UNIVERSITY OF CAMBRIDGE - GIRTON COLLEGE,0.0
3316,NATIONAL PARK COMMUNITY COLLEGE,31.8
3317,INSTITUTE OF DESIGN & CONSTRUCTION,16.6
3318,ASSEMBLIES OF GOD THEOLOGICAL SEMINARY,8.8
3319,"UNIVERSITY OF PUERTO RICO, AGUADILLA REGIONAL COLLEGE",12.5
3320,LINCOLN COLLEGE OF TECHNOLOGY,36.2
3321,UNIVERSITY OF MANCHESTER (THE),3.7
3322,CALIFORNIA INSTITUTE OF INTEGRAL STUDIES,5.4
3323,ATLANTA METROPOLITAN  STATE COLLEGE,24.1
3324,CAROUSEL BEAUTY COLLEGE,9.6
3325,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,28.5
3326,BURLINGTON COLLEGE,8.8
3327,INTERNATIONAL ACADEMY OF HAIR DESIGN,13.8
3328,BLACKSTONE VALLEY VOCATIONAL REGIONAL SCHOOL DISTRICT,0.0
3329,UNIVERSITY OF BRADFORD,25.0
3330,UNIVERSITY OF OXFORD - REGENT'S PARK COLLEGE,0.0
3331,MEMORIAL HOSPITAL SCHOOL OF NURSING,5.8
3332,JAMES COOK UNIVERSITY,0.0
3333,BIRMINGHAM CITY UNIVERSITY,0.0
3334,JAGIELLONIAN UNIVERSITY MEDICAL COLLEGE,8.3
3335,HUMBER COLLEGE INSTITUTE OF TECHNOLOGY AND ADVANCED LEARNING,50.0
3336,CENTRAL SCHOOL OF PRACTICAL NURSING,2.3
3337,ASTON UNIVERSITY,0.0
3338,EAST ARKANSAS COMMUNITY COLLEGE,17.7
3339,NORTH ARKANSAS COLLEGE,24.9
3340,ATLANTIC TECHNICAL CENTER,0.0
3341,BALDWIN BEAUTY SCHOOL #5,0.0
3342,MOORE NORMAN TECHNOLOGY CENTER SCHOOL DISTRICT NO. 17,18.1
3343,PROVIDENCE UNIVERSITY COLLEGE AND THEOLOGICAL SEMINARY,0.0
3344,UNIVERSITY OF OXFORD - WOLFSON COLLEGE,0.0
3345,NEW YORK CHIROPRACTIC COLLEGE,1.9
3346,WRIGHT BEAUTY ACADEMY,0.0
3347,VEEB NASSAU COUNTY SCHOOL OF PRACTICAL NURSING,7.6
3348,JZ TREND ACADEMY PAUL MITCHELL PARTNER SCHOOL,10.3
3349,LAREDO BEAUTY COLLEGE,0.0
3350,PALMER COLLEGE OF CHIROPRACTIC,3.5
3351,UNIVERSITY OF CAMBRIDGE - GONVILLE & CAIUS COLLEGE,0.0
3352,UNIVERSITY OF WESTERN STATES,1.6
3353,CORNISH COLLEGE OF THE ARTS,13.0
3354,MANCHESTER BEAUTY COLLEGE,0.0
3355,TULARE BEAUTY COLLEGE,0.0
3356,NORTHWESTERN HEALTH SCIENCES UNIVERSITY,4.3
3357,ROYAL COLLEGE OF MUSIC,0.0
3358,UNIVERSITY OF WALES - LAMPETER,8.3
3359,EMPIRE BEAUTY SCHOOL,20.6
3360,PHAGANS' CENTRAL OREGON BEAUTY COLLEGE,8.3
3361,PHAGANS' BEAUTY COLLEGE,18.0
3362,PHAGANS' SCHOOL OF HAIR DESIGN,23.4
3363,PHAGANS' SCHOOL OF BEAUTY,17.5
3364,PLAZA COLLEGE,5.6
3365,B M SPURR SCHOOL OF PRACTICAL NURSING,0.0
3366,NORTHWESTERN COLLEGE,20.6
3367,ST. PAUL'S SCHOOL OF NURSING,3.0
3368,SOUTHEASTERN REGIONAL VOCATIONAL TECHNICAL SCHOOL,18.4
3369,THOMAS JEFFERSON UNIVERSITY,2.4
3370,SCHUYLER STEUBEN CHEMUNG TIOGA ALLEGANY BOCES,22.9
3371,UNIVERSITY OF AUCKLAND,5.2
3372,STONE ACADEMY,21.4
3373,UNIVERSAL COLLEGE OF BEAUTY,0.0
3374,EVERGREEN VALLEY COLLEGE,14.4
3375,LINCOLN TECHNICAL INSTITUTE,31.0
3376,EASTWICK COLLEGE - HACKENSACK CAMPUS.,9.0
3377,PAUL MITCHELL THE SCHOOL DALLAS,6.0
3378,INTERNATIONAL BEAUTY COLLEGE #3,0.0
3379,TONI & GUY HAIRDRESSING ACADEMY,21.8
3380,RANKEN TECHNICAL COLLEGE,17.7
3381,CARIBBEAN UNIVERSITY,29.9
3382,UNIVERSIDAD DE NAVARRA,0.0
3383,EMMANUEL SCHOOL OF RELIGION,0.0
3384,LOS ANGELES MISSION COLLEGE,15.0
3385,FIVE TOWNS COLLEGE,10.6
3386,WEST VIRGINIA UNIVERSITY HOSPITALS,0.0
3387,RINGLING COLLEGE OF ART & DESIGN,13.4
3388,SAINT LOUIS CHRISTIAN COLLEGE,12.9
3389,ILLINOIS INSTITUTE OF ART (THE),18.7
3390,METROPOLITAN COMMUNITY COLLEGE,17.6
3391,ERIE 1 BOARD OF COOPERATIVE EDUCATIONAL SERVICES,17.8
3392,EMPIRE BEAUTY SCHOOL,7.6
3393,EMPIRE BEAUTY SCHOOL,12.5
3394,EMPIRE BEAUTY SCHOOL,4.1
3395,THOMAS M. COOLEY LAW SCHOOL,4.3
3396,MARINELLO SCHOOL OF BEAUTY,6.8
3397,ONONDAGA CORTLAND MADISON BOCES,22.5
3398,BEL - REA INSTITUTE OF ANIMAL TECHNOLOGY,6.9
3399,CAROUSEL BEAUTY COLLEGE,12.0
3400,CAROUSEL OF MIAMI VALLEY BEAUTY COLLEGE,0.0
3401,PELLISSIPPI STATE COMMUNITY COLLEGE,20.7
3402,BENJAMIN FRANKLIN CAREER & TECHNICAL CENTER,0.0
3403,SOUTHSIDE REGIONAL MEDICAL CENTER PROFESSIONAL SCHOOLS,5.9
3404,EDISON STATE COMMUNITY COLLEGE,19.8
3405,METROPLEX BEAUTY SCHOOL,0.0
3406,UNIVERSITY OF OXFORD - LINACRE COLLEGE,0.0
3407,"NATIONAL UNIVERSITY OF IRELAND, GALWAY",6.2
3408,OSWEGO COUNTY BOCES,17.6
3409,PONTIFICIA UNIVERSIDAD CATOLICA MADRE Y MAESTRA,15.6
3410,DOMINICAN HOUSE OF STUDIES,0.0
3411,INSTITUTO TECNOLOGICO DE SANTO DOMINGO,16.6
3412,JOHN WOOD COMMUNITY COLLEGE,18.7
3413,PAT GOINS RUSTON BEAUTY SCHOOL,0.0
3414,UNIVERSITY OF CAMBRIDGE - SAINT JOHN'S COLLEGE,0.0
3415,OXNARD COLLEGE,0.0
3416,MOLER HOLLYWOOD BEAUTY ACADEMY,11.1
